Pop	10000	-	Iter	1				
Mean	0.827779888							
C	0.951456311	P	[	99.09850752	32.29535869	1.06811404	40	]
C	0.834951456	P	[	99.19147722	30.4318671	1.01428071	40	]
C	1.097087379	P	[	101.2472165	28.04780077	1.00287124	40	]
C	0.378640777	P	[	100.9490882	30.64561564	1.06635293	40	]
C	0.766990291	P	[	99.775917	31.76681065	1.07588591	40	]
C	0.574879227	P	[	101.3723519	29.77132219	1.07096144	40	]
C	0.942028986	P	[	103.7151042	29.79469196	1.08286071	40	]
C	1.053398058	P	[	101.2370148	30.92857844	1.04314766	40	]
C	0.990291262	P	[	96.6759165	30.50849016	1.00517248	40	]
C	0.898058252	P	[	96.7384641	29.40421385	1.00944996	40	]
C	0.601941748	P	[	100.2192994	29.6720469	1.06387376	40	]
C	0.854368932	P	[	103.4345091	29.22152468	1.07137774	40	]
C	0.582524272	P	[	101.3758173	30.19536681	1.07173953	40	]
C	1.354368932	P	[	99.49467726	30.17462623	0.98750147	40	]
C	0.854368932	P	[	97.18264104	31.32685327	1.03297769	40	]
C	0.733009709	P	[	99.4203805	29.6086141	1.05384237	40	]
C	1.169902913	P	[	101.4320904	30.99086631	1.04303596	40	]
C	0.241545894	P	[	99.87868889	30.22464952	1.0445229	40	]
C	0.618357488	P	[	99.92605643	30.58727596	1.07136256	40	]
C	0.762135922	P	[	101.0682121	28.3565741	1.04174052	40	]
C	0.733009709	P	[	98.75171716	31.69114095	1.05346444	40	]
C	0.898058252	P	[	100.6296144	29.11895827	1.06671236	40	]
C	0.786407767	P	[	98.07968104	28.74107357	1.00194947	40	]
C	0.849514563	P	[	97.3234018	29.84917104	1.00415113	40	]
C	0.558252427	P	[	98.46398163	30.86557404	1.04447428	40	]
C	0.640776699	P	[	98.37492169	29.28815806	1.02701512	40	]
C	1.009708738	P	[	103.507015	30.20615566	1.10072117	40	]
C	1.101941748	P	[	95.26700776	31.40781891	1.02129328	40	]
C	0.93236715	P	[	101.0013388	29.53278547	1.01985063	40	]
C	0.743961353	P	[	100.7944318	30.67130159	1.04749555	40	]
C	1.04368932	P	[	104.0831951	28.93655272	1.07680626	40	]
C	0.941747573	P	[	103.0954783	30.86303523	1.10172995	40	]
C	0.737864078	P	[	99.32367898	30.31458776	1.01910335	40	]
C	0.548543689	P	[	99.5251127	29.9670996	1.05508031	40	]
C	1.222222222	P	[	99.07263992	32.77514422	1.06429562	40	]
C	0.805825243	P	[	97.71240394	30.93325369	1.05543472	40	]
C	0.786407767	P	[	100.6838906	31.09561459	1.05157339	40	]
C	0.839805825	P	[	101.2153954	29.79622296	1.08714858	40	]
C	0.898058252	P	[	99.76367397	28.79314494	1.04898806	40	]
C	0.849514563	P	[	99.80909602	30.96289702	1.0358903	40	]
C	0.558252427	P	[	98.77113358	29.73945719	1.03897454	40	]
C	0.354368932	P	[	100.8148274	30.62149487	1.06262367	40	]
C	0.626213592	P	[	102.0423362	29.83538809	1.06954108	40	]
C	0.975728155	P	[	98.46471816	32.22423498	1.05315022	40	]
C	1.126213592	P	[	96.64724655	31.85601054	1.0621584	40	]
C	0.742718447	P	[	101.7596452	29.0681564	1.03809759	40	]
C	0.821256039	P	[	98.010582	31.77727083	1.04727291	40	]
C	0.529126214	P	[	99.50642307	31.12482197	1.06179064	40	]
C	0.884057971	P	[	100.1926765	31.98152764	1.08541463	40	]
C	0.805825243	P	[	102.0465803	30.26552861	1.09340285	40	]
C	0.966019417	P	[	98.04192763	32.25821978	1.07377074	40	]
C	0.514563107	P	[	101.1351131	29.26754445	1.0534071	40	]
C	0.868932039	P	[	101.9625084	30.13149035	1.04998014	40	]
C	0.888349515	P	[	96.68697699	29.82220633	1.01885058	40	]
C	0.859903382	P	[	101.7961853	28.60804746	1.02699566	40	]
C	0.825242718	P	[	101.637268	28.50756076	1.03053755	40	]
C	0.942028986	P	[	101.4326685	32.29812138	1.09605474	40	]
C	0.737864078	P	[	97.87410181	29.11156934	1.0204713	40	]
C	1.048543689	P	[	100.0222093	32.62108725	1.08133984	40	]
C	1.009708738	P	[	100.6178844	30.14998583	1.09578808	40	]
C	0.854368932	P	[	101.7943983	30.78105224	1.06023956	40	]
C	1.169902913	P	[	98.47054345	32.53983843	1.08822716	40	]
C	0.922705314	P	[	96.96766305	31.27879751	1.04768328	40	]
C	0.849514563	P	[	101.4724674	29.04782598	1.027367	40	]
C	0.524271845	P	[	101.6160061	30.32449671	1.07035795	40	]
C	0.985436893	P	[	96.87659047	29.58842861	1.02392236	40	]
C	0.792270531	P	[	97.1696953	30.73651168	1.03041397	40	]
C	0.703883495	P	[	97.92488065	30.63895181	1.02154812	40	]
C	0.82038835	P	[	101.6064308	28.54287892	1.02802509	40	]
C	1.13592233	P	[	100.5957185	31.09638623	1.11000027	40	]
C	0.868932039	P	[	97.45330973	28.55250402	0.99524361	40	]
C	0.941747573	P	[	102.3830128	30.96300506	1.11023233	40	]
C	0.878640777	P	[	98.65257254	28.75809369	1.0330425	40	]
C	0.703883495	P	[	100.4352869	31.1627323	1.05863882	40	]
C	0.323671498	P	[	99.35982585	29.82978814	1.03143266	40	]
C	0.480582524	P	[	99.69632206	30.08745244	1.030811	40	]
C	0.815533981	P	[	101.1610469	31.01366183	1.09830259	40	]
C	0.850241546	P	[	100.3849957	31.15473788	1.09070917	40	]
C	0.63592233	P	[	99.69677934	30.04436462	1.06422001	40	]
C	0.733009709	P	[	102.1171252	30.84423795	1.09252494	40	]
C	0.791262136	P	[	98.73490592	30.4988023	1.01863824	40	]
C	0.990291262	P	[	98.35102891	31.09238772	1.02108957	40	]
C	0.951690821	P	[	96.20491502	31.0066775	1.02523675	40	]
C	0.951690821	P	[	97.77564123	31.46088571	1.06596016	40	]
C	0.480582524	P	[	99.14163507	29.17464886	1.01955747	40	]
C	0.422330097	P	[	100.9992716	29.64796477	1.04652706	40	]
C	1.281553398	P	[	102.1306439	27.03126614	1.01962016	40	]
C	0.762135922	P	[	100.1956754	30.00674152	1.02081886	40	]
C	0.650485437	P	[	100.9025071	28.89359525	1.04847535	40	]
C	0.36407767	P	[	99.97481213	29.91479846	1.05578479	40	]
C	0.980676329	P	[	103.2691307	29.29127283	1.04647751	40	]
C	1	P	[	101.5585908	30.20806557	1.03735056	40	]
C	0.86407767	P	[	100.8116588	28.5518884	1.01631039	40	]
C	1.178743961	P	[	100.4188787	28.74188712	0.99227956	40	]
C	1.184466019	P	[	97.79839765	30.57351881	0.99010468	40	]
C	0.86407767	P	[	98.18214598	30.06219275	1.00225314	40	]
C	0.815533981	P	[	100.9023649	30.02511402	1.0332377	40	]
C	0.72815534	P	[	98.13023118	28.94601711	1.01845967	40	]
C	1.237864078	P	[	100.8296261	32.08678098	1.05915806	40	]
C	1.014563107	P	[	102.549151	31.10828876	1.11676892	40	]
								
Pop	5000	-	Iter	2				
Mean	0.71169257							
C	0.961165049	P	[	103.2812324	28.78081771	1.06642735	40	]
C	0.902912621	P	[	97.74310455	31.29438859	1.06337347	40	]
C	0.762135922	P	[	97.66312203	30.67854805	1.05069865	40	]
C	0.266990291	P	[	99.30865671	30.29941068	1.04563745	40	]
C	0.393364929	P	[	100.7269435	29.14850958	1.05256073	41	]
C	0.608490566	P	[	101.1697175	30.10354291	1.07825867	41	]
C	0.701492537	P	[	97.14562504	31.66699073	1.02637664	39	]
C	0.747572816	P	[	101.9715542	31.38732133	1.08828738	40	]
C	1.208737864	P	[	103.2331135	32.63442114	1.11589217	40	]
C	0.436018957	P	[	100.2206918	29.15493672	1.04021984	41	]
C	0.767326733	P	[	96.60898113	31.88728669	1.02285888	39	]
C	0.691542289	P	[	98.20290575	31.67878129	1.03383467	39	]
C	0.674528302	P	[	102.1640586	29.48047735	1.06937647	41	]
C	0.723300971	P	[	98.16998653	30.04289276	1.01144479	40	]
C	0.388625592	P	[	101.2699806	28.39331591	1.04345578	41	]
C	0.829383886	P	[	98.15426041	28.0072217	1.00333231	41	]
C	1.014925373	P	[	96.84714421	33.41351706	1.07534819	39	]
C	0.39800995	P	[	98.93878404	30.92741611	1.03938237	39	]
C	0.645631068	P	[	99.75472245	30.02620196	1.02228463	40	]
C	0.734597156	P	[	101.3972771	27.64815956	1.03447056	41	]
C	0.519417476	P	[	99.93561293	30.96829632	1.05968675	40	]
C	0.914691943	P	[	98.19934665	27.5385058	1.01151871	41	]
C	0.930348259	P	[	101.7074016	29.5976902	1.02973977	39	]
C	1.23880597	P	[	96.22881514	31.90151735	1.06198938	39	]
C	0.922330097	P	[	99.49660218	28.21014083	0.99672361	40	]
C	0.718446602	P	[	99.221238	31.59283091	1.05813371	40	]
C	0.620853081	P	[	101.1408629	27.85253403	1.03051898	41	]
C	0.6492891	P	[	100.1493851	28.57049327	1.02100193	41	]
C	0.417475728	P	[	98.96805068	30.20222774	1.03367715	40	]
C	0.524271845	P	[	100.1480264	29.81547705	1.06315057	40	]
C	1.305825243	P	[	97.24425363	26.99984219	0.96533898	40	]
C	1.173267327	P	[	97.83938602	33.98689145	1.0868311	39	]
C	1	P	[	99.63560515	27.89562542	0.99555613	40	]
C	0.325242718	P	[	100.3754382	30.24781439	1.06253517	40	]
C	0.955445545	P	[	101.3216417	32.88485534	1.09745385	39	]
C	0.82038835	P	[	101.2418747	31.04463183	1.09828588	40	]
C	0.575471698	P	[	100.6165385	28.80618847	1.03215501	41	]
C	0.528301887	P	[	99.64633343	28.68302241	1.03062588	41	]
C	0.502487562	P	[	100.6372495	31.39645902	1.06162416	39	]
C	0.859223301	P	[	98.75632446	28.48374421	0.99402361	40	]
C	0.753554502	P	[	99.26496756	27.83095021	1.01884313	41	]
C	0.786729858	P	[	100.896784	28.14657837	1.0475729	41	]
C	0.067961165	P	[	100.1489925	30.01072999	1.04910345	40	]
C	0.68159204	P	[	98.26583146	32.47759471	1.06262478	39	]
C	0.859903382	P	[	102.8468898	30.95242219	1.08433237	40	]
C	0.776119403	P	[	100.7629655	29.71240849	1.02317315	39	]
C	0.67961165	P	[	100.4020634	29.91645495	1.03032762	40	]
C	0.532338308	P	[	101.3723263	30.93729716	1.06909102	39	]
C	0.597087379	P	[	98.16552041	29.77525448	1.01535352	40	]
C	1.139303483	P	[	100.5355316	33.5355266	1.10045183	39	]
C	0.618357488	P	[	100.1022569	29.49647931	1.02438871	40	]
C	0.980582524	P	[	102.1511001	27.96319376	1.03743147	40	]
C	0.721393035	P	[	101.4746301	31.18229031	1.09230921	39	]
C	0.646766169	P	[	99.3829719	29.81965573	1.0167509	39	]
C	0.665048544	P	[	98.53501828	30.04137825	1.01438658	40	]
C	0.342995169	P	[	99.12403882	30.15989818	1.0388423	40	]
C	0.718446602	P	[	101.4781739	31.15327515	1.09320231	40	]
C	0.412621359	P	[	99.57421429	30.07857413	1.05290006	40	]
C	1.014218009	P	[	98.74104611	27.18209835	1.01546159	41	]
C	0.564356436	P	[	98.78955667	30.21116898	1.02019113	39	]
C	0.63592233	P	[	100.9666602	28.81337903	1.04116741	40	]
C	1.082524272	P	[	104.2448498	30.06800251	1.09211769	40	]
C	0.529126214	P	[	101.2800104	29.43304074	1.04339434	40	]
C	0.90776699	P	[	99.56797209	32.17462856	1.07686542	40	]
C	0.655660377	P	[	100.3871821	29.41479662	1.0362434	41	]
C	0.537735849	P	[	99.89617846	29.5766953	1.03612621	41	]
C	0.694174757	P	[	101.7944255	30.13523049	1.08414649	40	]
C	0.63681592	P	[	98.55641213	32.31258902	1.06281705	39	]
C	0.970873786	P	[	96.39241959	29.83800621	1.01288771	40	]
C	0.806603774	P	[	101.5047782	28.29897717	1.02837176	41	]
C	0.552238806	P	[	100.2550606	29.8334552	1.04821264	39	]
C	0.464454976	P	[	101.7766064	28.99985912	1.05851476	41	]
C	0.702970297	P	[	97.3025495	30.84461187	1.01811167	39	]
C	1.113861386	P	[	96.96084572	31.20555976	0.9938974	39	]
C	1.203883495	P	[	95.61460802	28.7809736	0.97743046	40	]
C	0.561320755	P	[	100.5928758	28.39373419	1.04300422	41	]
C	0.509708738	P	[	98.70128802	30.52488246	1.03338445	40	]
C	0.694174757	P	[	98.8441074	29.42072588	1.03882405	40	]
C	0.425742574	P	[	98.83150675	31.70698384	1.05190209	39	]
C	0.3507109	P	[	101.4071526	28.69058193	1.04839568	41	]
C	0.781990521	P	[	97.85795397	29.30096445	1.03116855	41	]
C	0.70531401	P	[	100.6663884	28.44150065	1.03436516	40	]
C	0.641791045	P	[	101.3725675	30.67286303	1.07758019	39	]
C	1.077669903	P	[	97.85684256	27.38819773	0.99170776	40	]
C	0.47029703	P	[	99.95698375	30.21379304	1.03370457	39	]
C	0.696517413	P	[	100.6239467	29.57181268	1.02875374	39	]
C	0.611374408	P	[	102.2962579	28.15647734	1.04342744	41	]
C	0.971563981	P	[	98.55603491	27.80031362	0.99087553	41	]
C	1.018957346	P	[	98.68654864	30.96199192	1.06836714	41	]
C	0.766990291	P	[	100.3753653	28.70490282	1.04310627	40	]
C	0.487562189	P	[	98.35237673	31.01203026	1.03213465	39	]
C	0.511848341	P	[	100.5916647	28.6992443	1.04801205	41	]
C	0.502487562	P	[	99.5109873	30.56516704	1.05077595	39	]
C	0.256038647	P	[	99.94347163	29.77811023	1.04880579	40	]
C	0.748815166	P	[	99.19691711	27.93094038	1.01835806	41	]
C	0.572815534	P	[	101.4942596	31.08521805	1.07598148	40	]
C	0.917475728	P	[	102.6040846	31.7553955	1.1031989	40	]
C	0.618357488	P	[	101.037645	31.21350725	1.08269173	40	]
C	1.099502488	P	[	103.613982	32.23383639	1.12447138	39	]
C	0.758293839	P	[	100.9557023	28.16680963	1.0239604	41	]
								
Pop	2500	-	Iter	4				
Mean	0.575719803							
C	0.40776699	P	[	99.77130085	30.3222585	1.05719242	40	]
C	0.443396226	P	[	99.52850538	29.01156298	1.0381303	41	]
C	1.081632653	P	[	98.28676051	34.31837467	1.09483315	38	]
C	0.412322275	P	[	99.92322269	29.26875851	1.04054458	41	]
C	0.393034826	P	[	100.5618103	30.99260319	1.06080974	39	]
C	0.276699029	P	[	99.67613304	30.02892006	1.05012903	40	]
C	0.44549763	P	[	101.8243358	28.7187149	1.05152872	41	]
C	0.396039604	P	[	99.13213875	31.53720141	1.0533861	39	]
C	0.247572816	P	[	100.0505626	30.34357707	1.05786505	40	]
C	0.233009709	P	[	100.5528539	30.08670079	1.05295723	40	]
C	0.733009709	P	[	97.57577201	30.28106033	1.01719122	40	]
C	0.480582524	P	[	100.7942079	29.32221401	1.03641264	40	]
C	0.427184466	P	[	98.89269382	30.25038602	1.03375518	40	]
C	0.427184466	P	[	100.3732439	29.38289165	1.03518444	40	]
C	0.467661692	P	[	99.82526239	30.89418829	1.04259379	39	]
C	0.683168317	P	[	98.66478428	30.94273353	1.02408907	39	]
C	0.800995025	P	[	97.33303906	30.20950553	1.00509969	39	]
C	0.858490566	P	[	103.0113207	29.58736577	1.0778607	41	]
C	0.912621359	P	[	102.0460629	31.0136035	1.10792712	40	]
C	0.581632653	P	[	97.46075491	32.02628011	1.03948725	38	]
C	0.655339806	P	[	101.8901501	29.97783111	1.07407035	40	]
C	0.427860697	P	[	99.2153337	31.20749982	1.05608391	39	]
C	0.597087379	P	[	99.08212634	29.05644396	1.03261868	40	]
